timestamp,raw_value,wavelet_value
2015-10-17 21:05:11.118297,419,468.4612134291
2015-10-17 21:05:11.134189,414,468.4612134291
2015-10-17 21:05:11.134376,413,468.4612134291
2015-10-17 21:05:11.134535,412,468.4612134291
2015-10-17 21:05:11.149830,409,468.4612134291
2015-10-17 21:05:11.149932,409,468.4612134291
2015-10-17 21:05:11.150011,413,468.4612134291
2015-10-17 21:05:11.166160,414,468.4612134291
2015-10-17 21:05:11.166347,411,468.4612134291
2015-10-17 21:05:11.166506,413,468.4612134291
2015-10-17 21:05:11.182095,416,468.4612134291
2015-10-17 21:05:11.182451,414,468.4612134291
2015-10-17 21:05:11.182827,411,468.4612134291
2015-10-17 21:05:11.198122,411,468.4612134291
2015-10-17 21:05:11.198312,409,468.4612134291
2015-10-17 21:05:11.198474,408,468.4612134291
2015-10-17 21:05:11.214128,410,468.4612134291
2015-10-17 21:05:11.214315,414,468.4612134291
2015-10-17 21:05:11.214472,417,468.4612134291
2015-10-17 21:05:11.229950,420,468.4612134291
2015-10-17 21:05:11.230143,423,468.4612134291
2015-10-17 21:05:11.230306,426,468.4612134291
2015-10-17 21:05:11.246097,429,468.4612134291
2015-10-17 21:05:11.246300,428,468.4612134291
2015-10-17 21:05:11.246465,429,468.4612134291
2015-10-17 21:05:11.262094,434,468.4612134291
2015-10-17 21:05:11.262290,438,468.4612134291
2015-10-17 21:05:11.262452,440,468.4612134291
2015-10-17 21:05:11.278006,443,468.4612134291
2015-10-17 21:05:11.278266,447,468.4612134291
2015-10-17 21:05:11.278431,451,468.4612134291
2015-10-17 21:05:11.294075,453,468.4612134291
2015-10-17 21:05:11.294440,454,468.4612134291
2015-10-17 21:05:11.294738,456,468.4612134291
2015-10-17 21:05:11.309782,456,468.4612134291
2015-10-17 21:05:11.309989,457,468.4612134291
2015-10-17 21:05:11.310103,459,468.4612134291
2015-10-17 21:05:11.325753,460,468.4612134291
2015-10-17 21:05:11.325909,459,468.4612134291
2015-10-17 21:05:11.326019,458,468.4612134291
2015-10-17 21:05:11.326116,461,468.4612134291
2015-10-17 21:05:11.341617,464,468.4612134291
2015-10-17 21:05:11.341673,462,468.4612134291
2015-10-17 21:05:11.341720,460,468.4612134291
2015-10-17 21:05:11.357632,461,468.4612134291
2015-10-17 21:05:11.357689,460,468.4612134291
2015-10-17 21:05:11.357735,457,468.4612134291
2015-10-17 21:05:11.373632,455,468.4612134291
2015-10-17 21:05:11.373692,455,468.4612134291
2015-10-17 21:05:11.373739,455,468.4612134291
2015-10-17 21:05:11.389729,456,468.4612134291
2015-10-17 21:05:11.389808,456,468.4612134291
2015-10-17 21:05:11.389872,458,468.4612134291
2015-10-17 21:05:11.405825,459,468.4612134291
2015-10-17 21:05:11.405933,461,468.4612134291
2015-10-17 21:05:11.406025,463,468.4612134291
2015-10-17 21:05:11.422063,463,468.4612134291
2015-10-17 21:05:11.422262,464,468.4612134291
2015-10-17 21:05:11.422429,466,468.4612134291
2015-10-17 21:05:11.437818,468,468.4612134291
2015-10-17 21:05:11.437983,470,468.4612134291
2015-10-17 21:05:11.438126,475,468.4612134291
2015-10-17 21:05:11.454003,479,468.4612134291
2015-10-17 21:05:11.454291,480,468.4612134291
2015-10-17 21:05:11.454467,481,468.4612134291
2015-10-17 21:05:11.470057,481,468.4612134291
2015-10-17 21:05:11.470254,481,468.4612134291
2015-10-17 21:05:11.470423,484,468.4612134291
2015-10-17 21:05:11.485963,489,468.4612134291
2015-10-17 21:05:11.486164,492,468.4612134291
2015-10-17 21:05:11.486331,489,468.4612134291
2015-10-17 21:05:11.501911,483,468.4612134291
2015-10-17 21:05:11.502116,477,468.4612134291
2015-10-17 21:05:11.502281,466,468.4612134291
2015-10-17 21:05:11.517960,462,468.4612134291
2015-10-17 21:05:11.518158,465,468.4612134291
2015-10-17 21:05:11.518325,467,468.4612134291
2015-10-17 21:05:11.533695,466,468.4612134291
2015-10-17 21:05:11.533892,465,468.4612134291
2015-10-17 21:05:11.533995,464,468.4612134291
2015-10-17 21:05:11.549844,464,468.4612134291
2015-10-17 21:05:11.550120,463,468.4612134291
2015-10-17 21:05:11.550298,469,468.4612134291
2015-10-17 21:05:11.565808,475,468.4612134291
2015-10-17 21:05:11.566085,482,468.4612134291
2015-10-17 21:05:11.566264,484,468.4612134291
2015-10-17 21:05:11.566434,492,468.4612134291
2015-10-17 21:05:11.582009,534,468.4612134291
2015-10-17 21:05:11.582209,620,468.4612134291
2015-10-17 21:05:11.582380,726,468.4612134291
2015-10-17 21:05:11.598007,847,468.4612134291
2015-10-17 21:05:11.598197,917,468.4612134291
2015-10-17 21:05:11.598366,900,468.4612134291
2015-10-17 21:05:11.613995,800,468.4612134291
2015-10-17 21:05:11.614190,568,468.4612134291
2015-10-17 21:05:11.614359,385,468.4854777145
2015-10-17 21:05:11.629963,370,468.4818700432
2015-10-17 21:05:11.630157,402,468.4783359978
2015-10-17 21:05:11.630328,451,468.4748733473
2015-10-17 21:05:11.645963,494,468.4714799498
2015-10-17 21:05:11.646150,508,468.4682231514
2015-10-17 21:05:11.646312,502,468.4649663531
2015-10-17 21:05:11.661933,499,468.4617095548
2015-10-17 21:05:11.662128,496,468.4584527564
2015-10-17 21:05:11.662291,493,468.4551959581
2015-10-17 21:05:11.677906,489,468.4519391598
2015-10-17 21:05:11.678100,495,468.4486823614
2015-10-17 21:05:11.678271,511,468.4454255631
2015-10-17 21:05:11.693898,526,468.4421687648
2015-10-17 21:05:11.694092,534,468.4389119664
2015-10-17 21:05:11.694259,540,468.4356551681
2015-10-17 21:05:11.709910,547,468.4323983698
2015-10-17 21:05:11.710103,555,468.4291415714
2015-10-17 21:05:11.710273,562,468.4258847731
2015-10-17 21:05:11.725847,564,468.4226279748
2015-10-17 21:05:11.726046,563,468.4193711764
2015-10-17 21:05:11.726211,565,468.4161143781
2015-10-17 21:05:11.741474,571,468.4128575797
2015-10-17 21:05:11.741536,581,468.4096007814
