Building,Utility,Unit,Meter no.,Date,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30,24:00:00
Building 2,Electricity,KWh,Meter 1,27/03/2013,2.6,3.4,2.7,4.1,3,2.9,3.6,2.9,3.4,3.1,3.3,3,3.4,3.3,3.6,3.5,3.3,3.8,4.4,7,7.3,10,9.6,10.3,9.9,10.1,9.7,8.8,8.7,8.6,8.9,9.3,7.7,6.5,7.4,8,7.5,7.3,5,4.8,4.7,4.7,2.5,2.6,3.3,2.7,3.3,2.5
Building 2,Electricity,KWh,Meter 1,28/03/2013,3,2.5,3,2.5,3.1,3.1,3.1,3.2,2.9,3.2,2.9,3.1,2.8,3.5,3.6,3.8,3.6,4.9,9.1,9.4,9.5,9.5,8.8,9.2,9.3,9.4,10,9.5,9.9,10.6,9.4,9.9,9.2,7.3,7,7.4,7.6,7.4,7.2,5,4.8,4.8,4.9,4.7,3.6,2.4,3.6,2.9
Building 2,Electricity,KWh,Meter 1,29/03/2013,2.5,3.3,2.6,3.3,2.8,3.3,2.9,3.5,2.9,2.9,3.1,3.1,3.2,3.2,3,2.8,3.4,2.9,3.2,3.1,3.4,3,3.4,3.1,3.5,3.2,3.1,3.5,2.9,3.5,3,4.6,3,3.2,4,3.3,3.9,2.4,2.6,3.6,2.6,3.4,2.6,2.8,3.3,2.6,3.1,2.5
Building 2,Electricity,KWh,Meter 1,30/03/2013,3.1,2.6,2.9,2.8,3,2.5,2.7,2.6,2.6,2.7,2.5,2.7,2.7,2.7,2.7,2.7,2.5,2.6,2.5,2.8,2.7,2.5,2.5,2.6,2.5,2.9,2.6,2.7,2.7,2.7,2.7,2.6,2.5,2.6,2.5,2.7,2.6,2.6,2.5,2.6,2.6,2.5,2.5,2.8,2.7,2.8,2.5,2.6
Building 2,Electricity,KWh,Meter 1,31/03/2013,2.6,2.9,2.6,2.9,2.6,2.8,2.5,2.6,2.7,2.8,2.6,2.9,2.8,2.6,2.5,2.6,2.7,2.6,2.7,2.7,2.9,2.7,2.7,2.6,2.8,2.5,2.8,2.5,2.7,2.8,2.7,2.5,2.8,2.7,2.8,2.7,2.6,2.8,2.8,2.6,2.7,2.9,2.7,2.7,2.7,2.6,2.6,2.5
Building 2,Electricity,KWh,Meter 1,01/04/2013,2.7,2.8,2.9,3.1,3.1,2.9,3,3.1,2.9,3,2.9,3.8,2.9,3,3.1,3.1,2.9,3,3.3,3,3,3.1,3.4,3.1,3.2,3.2,3.1,3.2,3.2,3.3,3.1,2.9,2.9,3,2.5,2.5,2.9,2.6,2.6,2.6,2.6,2.5,2.5,2.7,2.5,2.7,2.8,2.7
Building 2,Electricity,KWh,Meter 1,02/04/2013,2.6,2.8,3,2.9,3,3.3,3,2.9,3.1,2.9,2.9,3.5,3.6,3.8,5.6,7.2,7.7,7.6,8.2,7.6,7.7,8,7.8,8.2,7.9,7.7,8.6,7.7,8.2,7.9,9.8,9.3,6.8,7.5,3.4,2.5,2.6,2.5,2.8,2.6,2.5,2.5,2.6,2.5,2.8,2.5,2.7,2.7
Building 2,Electricity,KWh,Meter 1,03/04/2013,2.8,2.4,2.9,2.9,3.2,2.9,3.1,2.9,3.4,3.8,6.5,7.8,8.1,8.1,8.4,8.8,9.6,9.8,10.1,10.9,10.1,11,9.9,10,10.5,9.7,9.8,9.3,9.3,8.1,10,9,8.2,7.6,5.1,5,5,5,3.4,2.7,4.6,4.5,2.7,3,4.7,2.5,2.6,3.1
Building 2,Electricity,KWh,Meter 1,04/04/2013,2.7,3,3,3.5,2.9,3.3,2.9,3.3,3.1,3.3,3.4,3.2,4.2,3.7,8.9,9.8,10.8,10,10.6,9.6,9.8,9.9,10.4,11.1,9.9,9.1,9.3,10.6,10.9,9.4,8.4,6.8,6.5,7.9,7.9,7.6,7.3,4.9,5,4.8,4.2,2.6,3.7,3.7,2.5,3.7,2.6,2.5
Building 2,Electricity,KWh,Meter 1,07/04/2013,2.7,2.6,2.3,2.7,2.3,2.7,2.5,2.6,2.5,2.6,2.5,2.5,2.6,2.6,2.3,2.5,2.7,2.4,2.8,2.4,2.6,2.8,2.7,2.5,2.8,2.6,2.7,2.5,2.6,2.5,2.7,2.6,2.8,2.6,2.5,2.4,2.5,2.5,2.7,2.7,2.9,2.5,2.6,2.5,2.8,2.5,2.5,2.4
Building 2,Electricity,KWh,Meter 1,09/04/2013,2.5,3.5,2.8,3.6,2.9,2.9,3.3,2.9,3.5,2.9,4.1,3.2,3.8,4.8,8.1,8.4,9.4,9.8,10,10.3,10.5,10.7,10.5,9.8,8.8,9.6,8.6,8.2,8.2,7.4,9,8.4,8,7.1,5.5,5.3,5,5.1,4.9,4.5,2.5,2.5,2.5,2.6,2.2,2.6,2.3,2.5
Building 2,Electricity,KWh,Meter 1,10/04/2013,2.3,2.5,3.1,2.9,2.8,2.8,2.9,2.6,2.9,2.8,2.9,3.5,3.2,3.2,3.6,3.4,4,7.9,8.3,8.1,8.7,9.3,9.6,9.4,8.8,8.6,9.2,8.9,7.7,7.8,9.5,8.9,8.4,8,5.2,5.1,5.1,5.1,3.8,2.7,3.3,2.4,3.1,3.6,2.7,4.3,2.7,2.5
Building 2,Electricity,KWh,Meter 1,11/04/2013,3.5,2.7,3.4,2.9,3.3,2.7,3,2.9,2.8,2.8,2.9,3.1,3.9,3.6,4.6,7.4,9,10.1,10,10.8,10.1,9.9,9.7,10.6,9.8,9,9.6,10.1,9.7,9.7,8.5,6.9,6.5,7.7,7.6,7.4,6.4,4.7,4.9,4.6,4.7,3.3,2.5,3.3,2.6,2.9,2.5,2.7
Building 2,Electricity,KWh,Meter 1,12/04/2013,2.6,2.3,3.1,3.1,3.1,2.9,2.9,2.7,2.9,2.8,2.8,3.2,3.7,3.9,4.5,4.1,7.3,7.6,8.1,8.3,9.7,9.3,7.5,10.1,9.8,9.7,10.5,9.6,10,9.8,10.7,8.9,9.7,9.4,8.3,8.3,5.7,5.1,5.1,5.1,5.1,5.3,4.8,4.8,2.8,2.3,3,2.4
Building 2,Electricity,KWh,Meter 1,14/04/2013,2.8,2.7,2.9,2.9,2.7,2.7,2.8,2.7,2.9,3,3,2.8,2.7,2.6,2.8,2.8,2.9,2.8,3,2.5,2.8,2.6,2.7,2.6,3.1,2.7,2.6,2.7,2.6,2.5,2.5,2.5,2.9,2.3,2.6,2.4,2.5,2.4,2.6,2.6,2.7,2.5,2.7,2.4,2.4,2.7,2.7,2.5
Building 2,Electricity,KWh,Meter 1,16/04/2013,2.9,3.3,3.3,3.5,3.3,3.5,3,3.2,2.8,3,3,3.4,3.7,3.8,4.4,4.3,6.9,10.3,10.1,10.3,9.8,10.6,10.4,10.2,11.4,9.3,10,10.5,9.2,9.9,9.4,9,9,8,6.4,7,7.7,7.7,8,5.4,5.1,5,4.8,3.5,2.4,2.7,2.2,2.7
